Time  1 - default sample rate;Load;Displacement;AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate                      
0;-4,774891376;-0,002156158;-0,118961945;0,145473376;-0,346703857;-2,404305935;-1,269365311;0,137126356;948333418,7
0,003333333;-4,68197155;-0,002188402;-0,065274;-0,050407801;-0,676167965;-2,774425983;-2,293726921;0,137126356;948333418,7
0,006666667;-4,636136532;-0,002119002;0,051958203;-0,067246668;-0,496477246;-3,578789949;-3,545556784;0,137126356;948333418,7
0,01;-4,606271267;-0,002011352;0,018597614;-0,098920256;-0,393294096;0,336349338;-4,364333153;0,137126356;948333418,7
0,013333334;-4,589120865;-0,001786619;0,109552644;-0,220006436;-0,356573939;4,465301037;-5,479696751;0,137126356;948333418,7
0,016666667;-4,70455265;-0,002117524;0,032473743;-0,170957908;-0,341248631;-4,104746819;-4,577321053;0,137126356;948333418,7
0,020000001;-4,667745113;-0,001883385;-0,013023586;-0,040229067;-0,269461989;-4,439554691;-3,779258013;0,137126356;948333418,7
0,023333334;-4,618800163;-0,001499169;-0,067908615;-0,264810413;-0,338692367;5,540944099;-4,458667755;0,137126356;948333418,7
0,026666668;-4,697683334;-0,001748272;-0,120391034;0,030477077;-0,142347127;-1,766936302;-4,030791759;0,137126356;948333418,7
0,030000001;-4,762851715;-0,002014857;-0,084189512;-0,01867309;-0,431864977;-8,949550629;-3,794959545;0,137126356;948333418,7
0,033333335;-4,590169907;-0,001545777;-0,006179519;-0,082057215;-0,636185467;-12,58584785;-3,864722013;0,137126356;948333418,7
0,036666668;-4,598070621;-0,001659154;-0,048952382;-0,109116964;-0,437517107;-8,451012611;-3,476298571;0,137126356;948333418,7
0,040000002;-4,629095554;-0,001462159;-0,172392368;-0,373609334;-0,616525233;-0,329327166;-3,027954102;0,137126356;948333418,7
0,043333335;-4,672679424;-0,001830359;-0,143251762;0,106046289;-0,426846147;-1,906761289;-2,242431641;0,137126356;948333418,7
0,046666669;-4,500706673;-0,001928716;0,145200163;-0,050722141;-0,322434604;-8,562979698;-1,502672672;0,137126356;948333418,7
0,050000002;-4,619240761;-0,001382373;0,169145852;-0,084946536;-0,045071084;-6,152729511;-2,390641928;0,137126356;948333418,7
0,053333336;-4,60460043;-0,001948809;0,104693249;0,062236108;0,294813842;-1,422663808;-2,120336294;0,137126356;948333418,7
0,056666669;-4,673397541;-0,002224544;0,144748122;-0,190989599;-0,488195539;2,903238773;-2,617597818;0,137126356;948333418,7
0,060000003;-4,774522305;-0,002447494;0,188906312;-0,316751897;-0,472974539;2,836464167;-2,965827465;0,137126356;948333418,7
0,063333336;-4,689099312;-0,002312581;0,058955137;-0,008742938;-0,574122667;0,255952716;-2,158882141;0,137126356;948333418,7
0,06666667;-4,625497818;-0,001812618;-0,003569518;-0,11529205;-0,632397413;-5,886492252;-1,72604084;0,137126356;948333418,7
0,070000003;-4,685168266;-0,001567237;0,159480557;-0,097650416;-0,409527004;-5,055641174;-2,230234861;0,137126356;948333418,7
0,073333337;-4,650856972;-0,002061982;0,160254821;0,167837039;-0,33628124;-5,003949165;-1,793020725;0,137126356;948333418,7
