Time  1 - default sample rate                                   ;Load [N];Displacement [mm];AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate
0;-6.160934448;-0.004769754;0.016562033;0.517674148;-1.286387682;-20.32407379;-2.474252462;0.098360285;947504010.1
0.003333333;-6.221971512;-0.004431038;-0.147478193;0.393258929;-1.129805088;27.69970512;-2.940231085;0.098360285;947504010.1
0.006666667;-6.269805908;-0.004256339;-0.254717052;0.275501132;-1.127190948;10.45527077;-3.19158411;0.098360285;947504010.1
0.01;-6.363481045;-0.004620364;-0.048299383;0.387844771;-0.974403024;-3.799284935;-3.486017466;0.098360285;947504010.1
0.013333334;-6.313920021;-0.004663976;0.138643712;0.553227246;-0.871025264;27.13233376;-3.607876539;0.098360285;947504010.1
0.016666667;-6.220838547;-0.004580843;-0.04817199;0.431655109;-0.716056347;-8.028360367;-3.598666668;0.098360285;947504010.1
0.020000001;-6.17051363;-0.004338704;-0.030076681;0.275366366;-0.812821329;10.34432983;-2.800840378;0.098360285;947504010.1
0.023333334;-6.167389393;-0.004808014;-0.046828605;0.109744191;-1.177243233;31.59721184;-2.839468479;0.098360285;947504010.1
0.026666668;-6.249503613;-0.004829775;0.061440714;0.041888148;-0.95500797;-9.058726311;-3.51921916;0.098360285;947504010.1
0.030000001;-6.176729202;-0.004859595;0.028956857;0.075056739;-0.86436516;19.07396698;-4.26897192;0.098360285;947504010.1
0.033333335;-6.239381313;-0.004608328;-0.02759292;0.189310342;-1.044273138;4.867571354;-3.073134899;0.098360285;947504010.1
0.036666668;-6.270833015;-0.004208573;0.052519068;0.01129031;-1.195910811;-2.376106262;-2.154583693;0.098360285;947504010.1
0.040000002;-6.246321201;-0.004588378;0.107230559;-0.053505961;-1.121433258;31.88861847;-2.59036231;0.098360285;947504010.1
0.043333335;-6.339845181;-0.005021659;-0.032941788;0.393927753;-1.097528696;-11.25051212;-2.361495018;0.098360285;947504010.1
0.046666669;-6.206733704;-0.005198496;0.079279229;0.043687824;-0.87076056;3.474429607;-2.301196575;0.098360285;947504010.1
0.050000002;-6.250160217;-0.004755917;0.130010143;0.213329911;-0.976583123;22.54000664;-2.677466154;0.098360285;947504010.1
0.053333336;-6.29258585;-0.004721046;0.185464561;0.401008159;-1.004406095;-6.797852516;-2.174210072;0.098360285;947504010.1
0.056666669;-6.260021687;-0.004688402;0.160474136;0.511951387;-0.965174973;31.69559097;-2.471985817;0.098360285;947504010.1
0.060000003;-6.152575493;-0.004681337;-0.00649533;0.174676061;-1.167211652;5.265881062;-2.307851791;0.098360285;947504010.1
0.063333336;-6.178783894;-0.004650328;0.065662511;0.328924328;-1.213631392;-12.63966084;-2.362360001;0.098360285;947504010.1
